task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-685283,Ag13Bi15I64,-0.28893043,0.106493749,0
mp-1101132,Te7As5I,0.054302483,0.092204643,0
mp-570607,Dy5C2I9,-1.222140492,0,0.664
mp-772170,CaLaI5,-1.517222929,0.07520663,2.1489
mp-1205361,Te6RhI3,-0.230723026,0,1.0561
mp-1206182,LaCI,-0.91162613,0.030856073,0
mp-1206265,LaSiI,-1.143197199,0,0
mp-1223076,La4B4I5,-1.150984125,0,0
mp-752402,BaSrI4,-1.678709591,0.078222139,3.1007
mp-768295,Ba2YI7,-1.594251434,0.061463077,3.0154
mp-1206220,KDyI3,-1.223889805,0.106185778,0
mp-569258,Ta4Se9I8,-0.539733097,0,0.88
mp-1112977,Cs3BiI6,-1.07967766,0.065654042,2.8318
mp-1210218,P(H2I)2,1.768901485,1.931354795,1.6107
mp-23497,Li2ZnI4,-0.944321386,0.026322999,3.1982
mp-28746,Pr3RuI3,-1.012341278,0,0.0227
mp-30934,As(S8I)3,-0.59378756,0,2.0753
mp-753345,Ba2CaI6,-1.685962684,0.062184395,3.4759
mp-772074,Sr3LaI9,-1.631458357,0.033186843,2.1769
mp-1178505,BaSrI4,-1.733475531,0.023456199,3.2892
mp-1188687,Ba2P7I,-0.718187048,0,1.7843
mp-1208148,ThGeI6,-0.846168064,0.057541138,2.3155
mp-1205711,La2Ru2I,-0.625445559,0,0
mp-1213276,CsSr2I5,-1.673854305,0.013250377,3.6667
mp-28871,In3SnI5,-0.478569674,0.000473774,2.0256
mp-29440,CuMo3I7,-0.354294821,0,1.5657
mp-570813,Li2UI6,-1.01629753,0,0
mp-1215096,Ag3SI3,0.844990025,1.088878658,0.3535
mp-541102,Sc6C2I11,-1.132990321,0,0.0154
mp-752682,Ba2Sr7I18,-1.679659481,0.053703441,3.4191
mp-1207511,Zr6FeI14,-0.932125216,0,1.0464
mp-1217396,ThPbI6,-0.968680105,0.05969728,1.4838
mp-28345,Zr6CI12,-0.955996286,0.002390782,0.2892
